First_Name,Last_Name,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status 1,Sales Performance Status 2,Customer Handling Rating 2
Benjamin,Cook,Marketing,Content Strategist,8/20/2021,78301,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
David,Rangel,Operations,Procurement Specialist,3/20/2021,66675,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Morgan,Richardson,Operations,Procurement Specialist,4/28/2015,78483,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Frank,Woods,HR,HR Manager,5/22/2020,75578,,,,,,,69,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Watson,Marketing,Marketing Analyst,12/05/2017,57474,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Darren,Delgado,Operations,Procurement Specialist,10/24/2021,94951,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Williams,IT,Data Analyst,12/16/2019,55168,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Amanda,Wright,IT,Software Engineer,10/13/2019,111126,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Amanda,Woods,HR,HR Coordinator,11/03/2023,46878,,,,,,,60,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Veronica,Mcconnell,Marketing,Content Strategist,01/10/2019,78415,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Willis,Finance,Financial Analyst,7/31/2015,96904,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Stephanie,Hayes,IT,IT Support,10/09/2022,90807,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jerry,Mccarty,IT,Software Engineer,01/12/2021,77865,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Jason,Clark,IT,IT Support,7/29/2021,84862,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Laurie,Garcia,Sales,Sales Executive,3/20/2015,85533,242971,106905,0.03185563,7739.99,3,1,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Alicia,Ford,Sales,Sales Manager,09/01/2021,40079,144100,64984,0.063332044,9126.15,5,6,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Shawn,Perry,IT,Data Analyst,4/30/2018,106959,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Melissa,Hart,Sales,Sales Executive,02/08/2015,41830,194464,139330,0.065418694,12721.58,3,3,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Shannon,Barrett,Marketing,Content Strategist,09/09/2020,73013,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Michael,Butler,Sales,Sales Manager,03/02/2021,84008,58058,86219,0.062507855,3629.08,3,2,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Desiree,Avila,IT,IT Support,11/16/2015,110472,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Eric,Jones,Sales,Sales Executive,2/17/2015,75134,52966,192216,0.068607367,3633.86,1,3,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Karen,Moore,Marketing,SEO Specialist,08/11/2017,77731,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Allen,Young,Marketing,Marketing Analyst,7/17/2019,64170,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Nicole,Kramer,Finance,Accountant,05/11/2022,107065,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Rachel,Greene,Customer Support,Customer Service Rep,01/10/2016,63036,,,,,2,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Beck,Customer Support,Support Specialist,6/16/2016,37459,,,,,1,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
David,Beltran,Operations,Procurement Specialist,08/03/2015,52379,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Mitchell,HR,HR Manager,3/30/2016,87490,,,,,,,81,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Micheal,Stevenson,Customer Support,Support Specialist,3/27/2018,49547,,,,,5,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Lisa,Salazar,HR,HR Coordinator,3/23/2017,62571,,,,,,,92,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Miranda,Gomez,HR,HR Manager,05/08/2019,56405,,,,,,,82,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Loretta,Brown,Sales,Sales Executive,1/19/2016,50070,58410,172085,0.048155882,2812.79,1,8,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Tiffany,Foley,Sales,Sales Executive,11/09/2018,89399,175042,183065,0.030357563,5313.85,2,5,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Michelle,Williams,Finance,Financial Analyst,12/14/2022,85232,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Annette,Morgan,Marketing,SEO Specialist,6/23/2019,45618,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Bailey,Davis,Sales,Sales Manager,5/28/2023,46411,230496,197227,0.037025816,8534.3,5,9,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Melissa,Long,IT,Data Analyst,12/24/2020,56272,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Lori,Richard,Marketing,Marketing Analyst,3/29/2015,73328,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Farrell,Operations,Logistics Coordinator,10/08/2017,99741,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Dana,Foster,Sales,Sales Executive,4/20/2022,71864,217836,146788,0.061566369,13411.37,2,5,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Sarah,Jones,Marketing,Marketing Analyst,10/18/2021,45571,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Lori,Reyes,Finance,Accountant,12/10/2021,107449,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Amber,Mathews,Customer Support,Call Center Agent,7/25/2015,37143,,,,,3,7,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Carla,Smith,Sales,Account Manager,05/04/2016,65137,215053,55280,0.069577272,14962.8,4,5,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Barbara,Lowery,Sales,Sales Manager,04/02/2023,89358,131310,174436,0.05120927,6724.29,3,0,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Shawn,Hampton,HR,HR Coordinator,12/03/2016,56602,,,,,,,71,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Casey,Ross,HR,HR Manager,2/23/2018,51656,,,,,,,71,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Matthew,Spencer,Finance,Auditor,11/25/2023,80229,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Richard,Franklin,Customer Support,Call Center Agent,09/09/2016,55791,,,,,2,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Hampton,Finance,Auditor,10/20/2015,69969,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Ann,Flores,Marketing,Content Strategist,03/06/2023,54661,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Rickey,Sanders,Marketing,Marketing Analyst,9/23/2023,67442,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Allen,Sales,Sales Manager,5/16/2023,84695,194712,117600,0.053571699,10431.05,4,7,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Darren,Brown,Customer Support,Customer Service Rep,10/12/2022,56268,,,,,4,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Donna,Reeves,Marketing,SEO Specialist,09/10/2019,82682,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Charles,Chen,Customer Support,Customer Service Rep,1/28/2022,67683,,,,,4,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Lynn,George,IT,IT Support,2/22/2016,88235,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Anne,Gomez,Marketing,Content Strategist,5/16/2020,57632,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
James,King,IT,Software Engineer,11/25/2019,82151,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Katherine,Edwards,Sales,Sales Executive,07/07/2015,88568,113762,92641,0.022912556,2606.58,3,4,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Daniel,Anderson,Operations,Logistics Coordinator,3/27/2019,88736,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Brandon,James,HR,HR Manager,02/09/2022,71857,,,,,,,88,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Brett,Lewis,Customer Support,Call Center Agent,10/17/2018,37223,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Julia,Ball,Finance,Financial Analyst,03/12/2022,95984,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kimberly,Davis,Customer Support,Call Center Agent,4/21/2016,58871,,,,,5,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Darius,Skinner,Customer Support,Support Specialist,5/22/2019,63111,,,,,2,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Robert,Patterson,Operations,Logistics Coordinator,10/19/2015,76851,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Lori,Parks,HR,Recruiter,2/22/2020,46446,,,,,,,97,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Brian,Bush,HR,HR Manager,9/13/2022,74665,,,,,,,90,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Kiara,Taylor,Customer Support,Support Specialist,7/14/2018,46779,,,,,4,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Nicole,Baxter,Finance,Financial Analyst,11/15/2022,103298,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kathryn,Trujillo,Finance,Accountant,10/17/2022,58029,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Ashley,Russell,Operations,Operations Manager,6/26/2020,52340,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Jeff,Jackson,Customer Support,Customer Service Rep,10/18/2023,36459,,,,,1,1,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jennifer,Barker,Finance,Auditor,02/02/2015,73777,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Sarah,Peters,Finance,Accountant,5/19/2016,68849,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Charles,Rowland,Finance,Auditor,04/09/2021,106100,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Robert,Martin,IT,Data Analyst,01/02/2017,59042,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Geoffrey,Escobar,Operations,Operations Manager,3/27/2022,81656,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Christopher,Nelson,Sales,Sales Manager,02/12/2015,71195,38742,72477,0.04813541,1864.86,4,0,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Lindsay,Castillo,Sales,Sales Manager,09/07/2023,85755,92550,110617,0.050662449,4688.81,2,6,,Bryan Burnett,Meets Expectations,Meets Expectations,Needs Improvement
Jerry,Preston,Finance,Auditor,11/25/2017,70665,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Andrew,Hernandez,Finance,Accountant,11/21/2022,91958,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Lindsay,Jacobs,Customer Support,Call Center Agent,2/23/2015,40884,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Ruben,Garrett,Marketing,Content Strategist,05/08/2022,54527,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Mark,Berry,Customer Support,Customer Service Rep,04/04/2017,49294,,,,,3,8,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Ralph,Ramirez,Customer Support,Support Specialist,04/03/2018,48157,,,,,3,2,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Jill,Lewis,Marketing,Marketing Analyst,10/23/2017,58706,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jonathan,Booth,Marketing,Marketing Analyst,09/10/2022,66396,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Molly,Black,HR,Recruiter,08/01/2020,91454,,,,,,,82,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Alexandria,Roberson,HR,HR Manager,4/21/2019,81057,,,,,,,87,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Zachary,Morales,Finance,Auditor,10/21/2016,66422,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Kevin,Gutierrez,IT,Software Engineer,8/27/2019,91490,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Alexander,Ray,Marketing,Content Strategist,3/20/2016,51000,,,,,,,,Trevor Cooper,Not Applicable,Meets Expectations,Needs Improvement
Jacob,Cardenas,Customer Support,Call Center Agent,7/26/2022,45708,,,,,2,4,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Kim,Donovan,HR,HR Coordinator,3/30/2016,85301,,,,,,,68,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Todd,Young,Finance,Financial Analyst,6/21/2020,57294,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Elaine,Davis,Operations,Procurement Specialist,05/12/2015,50249,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Tracey,Allen,Operations,Procurement Specialist,03/08/2023,62538,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Kelly,Rodriguez,Finance,Auditor,06/04/2020,59706,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Jessica,Potter,HR,Recruiter,02/07/2022,59461,,,,,,,98,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
Jeremy,Haley,Sales,Account Manager,4/26/2017,72902,118171,58729,0.054539811,6445.02,2,4,,Bryan Burnett,Meets Expectations,High Performer,Needs Improvement
Derek,Richards,IT,Data Analyst,1/26/2018,67368,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Zachary,Ward,IT,Software Engineer,08/02/2016,77731,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Brian,Goodwin,IT,IT Support,2/24/2022,89833,,,,,,,,Daniel Patterson,Not Applicable,Meets Expectations,Needs Improvement
Hayden,Ortiz,Customer Support,Call Center Agent,04/12/2021,47116,,,,,2,0,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Maurice,Grant,Operations,Procurement Specialist,12/21/2021,92205,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Sharon,Hall,Operations,Logistics Coordinator,1/27/2019,81766,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Amanda,Mcmillan,Customer Support,Call Center Agent,08/01/2023,44078,,,,,3,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Alexandra,Johnson,Operations,Logistics Coordinator,07/05/2020,62656,,,,,,,,Mr. Bradley Welch,Not Applicable,Meets Expectations,Needs Improvement
Scott,Freeman,Sales,Sales Executive,01/12/2016,43985,124805,164706,0.022522611,2810.93,1,4,,Bryan Burnett,Meets Expectations,Needs Improvement,Needs Improvement
Ryan,Lee,Customer Support,Support Specialist,1/31/2015,42326,,,,,3,3,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Daniel,Anderson,Finance,Accountant,06/09/2019,57487,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Amy,Casey,Finance,Financial Analyst,08/08/2021,57012,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Joshua,Phillips,Finance,Accountant,7/19/2018,106663,,,,,,,,David Davis,Not Applicable,Meets Expectations,Needs Improvement
Zachary,Reyes,Customer Support,Call Center Agent,6/27/2023,69991,,,,,1,6,,Christopher Ochoa,Not Applicable,Meets Expectations,Needs Improvement
Austin,Harrison,HR,HR Coordinator,01/11/2017,71161,,,,,,,90,Renee Green,Not Applicable,Meets Expectations,Needs Improvement
